[0.0:2.0]  DISH
[4562.42:4563.42]  maquinona, tudo.
[4563.42:4565.42]  Você não tem, não é que dizer, você é casado, né?
[4565.42:4569.42]  Mas eu tenho, cara, uma atração por pessoa que não mora, não, porra.
[4569.42:4570.42]  É...
[4571.42:4575.42]  Uma atração por pessoa que trabalham em garsonete,
[4575.42:4577.42]  assim, que ela tu puxa o cabelo assim,
[4577.42:4579.42]  porque a pessoa não saca assim, tipo, porra.
[4579.42:4581.42]  Que diferente.
[4581.42:4583.42]  Não, muita gente tem.
[4583.42:4584.42]  Tá.
[4584.42:4585.42]  Eu sou comum, cara.
[4585.42:4587.42]  Ai, qual é falar do carro?
[4587.42:4589.42]  Ai, é, história do carro.
[4589.42:4591.42]  É, o primeiro coisa, porque...
[4591.42:4593.42]  Paramei a essa, aí.
[4593.42:4594.42]  Irmão, assim, nada.
[4594.42:4595.42]  Matabon, história do carro.
[4595.42:4597.42]  Você foi do que você tomou te jolado?
[4597.42:4598.42]  É, porra.
[4598.42:4599.42]  Não, porra.
[4599.42:4601.42]  É, pois é, o carro, tu veio dirigindo...
[4601.42:4603.42]  Não, eu vim de dinheiro pra São Paulo,
[4603.42:4605.42]  porque que São Paulo é esse cabelo, cara?
[4607.42:4608.42]  Por quê?
[4608.42:4610.42]  Porque a primeira vez que eu vim pra São Paulo,
[4610.42:4612.42]  foi provao menino também, mas assim,
[4612.42:4614.42]  agora eu tô falando, não parece que eu sou um cara,
[4614.42:4616.42]  que eu só fico não, não faço nada.
[4616.42:4618.42]  Eu fico com duas pessoas na minha vida.
[4618.42:4620.42]  Mas eu falo, eu tô falando tanto história,
[4620.42:4622.42]  assim, mas enfim, vim ficar com a menina, assim, vim ver a menina.
[4622.42:4624.42]  E eu cheguei em São Paulo, cara.
[4624.42:4626.42]  Eu vim de onde? Cheguei na rua do Viara.
[4626.42:4629.42]  E por que que eu tenho uma noção que São Paulo me igual tão serious?
[4629.42:4633.42]  E lá por os azcos, assim,
[4633.42:4636.42]  é mais uma arcan, arcancíria, entendeu?
[4636.42:4639.42]  Eu tenho arcanas alas, em tudo mais, por assim.
[4639.42:4641.42]  É essa impressão que eu tenho de São Paulo.
[4641.42:4643.42]  O Andrinho é muito tranquilo, cara.
[4643.42:4645.42]  Andrinho é um dos meus habitantes,
[4645.42:4647.42]  tranquilão relaxado, outra parada.
[4647.42:4651.42]  Porra, esse cidade meio de interior, assim, gostosinha,
[4651.42:4653.42]  você vai nas coisas, eu tenho tudo.
[4653.42:4655.42]  Aqui é cabuloso, porra.
[4655.42:4657.42]  Eu vou pegar um 8 km, eu diria de 50 minutos, porra.
[4657.42:4661.42]  E deu o seguinte, eu cheguei em São Paulo na rodoviara.
[4661.42:4666.42]  Porra, tinha um cara quebrando, quebrando o painel da rodoviara,
[4666.42:4669.42]  eu quero embora, eu quero embora daqui.
[4669.42:4672.42]  E quebrando o painel, foi o meu primeiro recepção,
[4672.42:4674.42]  a primeira vez que eu vi em São Paulo.
[4674.42:4676.42]  Eu quero que o Andrinho bacana, porra.
[4676.42:4678.42]  Eu tô bastante feliz de estar aqui.
[4678.42:4682.42]  Boas vindas, é a tal das boas vindas, com o pessoal falo.
[4682.42:4684.42]  Eu quero quebrando, eu quero quebrando, eu quero quebrando.
[4684.42:4686.42]  Eu me dá meu dinheiro, eu me dá meu dinheiro.
[4686.42:4689.42]  Eu sou uma pessoa que eu vou fazer em carro, eu me dá meu dinheiro.
[4689.42:4691.42]  Eu falei, caralho, que dá hora, né?
[4691.42:4694.42]  Eu peguei, já ficou naquele, naquele isoteca,
[4694.42:4696.42]  é o que tem de perda rodoviara.
[4696.42:4698.42]  Deus me livre, não conhece, mas Deus me livre.
[4698.42:4700.42]  Você é em São Paulo do vídeo.
[4700.42:4704.42]  É o seguinte, eu fui num restaurantezinho, chegou um cara.
[4704.42:4708.42]  Chegou um cara, foi assim, o irmão deu a trocar.
[4708.42:4713.42]  Eu peguei, eu falei assim, porra, eu falei assim, eu tô com a menina aqui, na cara.
[4713.42:4716.42]  Eu quero impressionar, um soltário, porra.
[4716.42:4719.42]  Eu vou impressionar, você aí com maior aisão do role, porra.
[4719.42:4723.42]  Você aí com maior aisão, eu tirei minha carteira, tinha uma nota de 50 ou outra de 20.
[4723.42:4727.42]  São Paulo, São Paulo, cidade, uma foda do mundo, tal, isso, etc.
[4727.42:4729.42]  Puxei logo a nota de 20.
[4729.42:4732.42]  Parece o irmão, você quer lanchar?
[4732.42:4736.42]  Quero lanchar lá, come bem.
[4736.42:4739.42]  Hoje eu vou te patrocinar, parceiro.
[4739.42:4742.42]  Um falhei, mas pensei, é a menina do meu lado.
[4742.42:4747.42]  Você encarar, ele é um herói, ele é foda, ele ajuda as pessoas.
[4747.42:4752.42]  Eu tava feliz também, eu tava me sentindo que tava fazendo uma boa, uma boação, caridade.
[4752.42:4757.42]  O cara pegou e não agrediu seu, em vez disso, em vez de agredir, ele foi assim.
[4757.42:4760.42]  Normal tô vendo que você tem uma nota de 50 aí?
[4760.42:4763.42]  Cara, de pau demais não é.
[4763.42:4765.42]  Isso nunca tinha visto meu vida.
[4765.42:4769.42]  Eu puxei no outro 50, dei pra ele, porque eu fiquei a minha sada, frecária.
[4769.42:4772.42]  Se eu quer um salto, não pensei, não falei, não pensei.
[4772.42:4775.42]  De 70 reais, eu fui dar puta, cara.
[4775.42:4780.42]  Ele me roubou, eu preferia que ele botasse o mar, não é boa, você quer um salto, não sei essa salto.
[4780.42:4782.42]  É um sentimento mais à vontade.
[4782.42:4789.42]  Eu dei esse deta, reespo cara, a menina, o cara nem me agradeceu, ele saiu e foi comer bem pra caralho,
[4789.42:4792.42]  foi comer porra, não é a favir.
[4792.42:4794.42]  O meu grato, tá ligado.
[4794.42:4798.42]  Ele não saiu pensando assim, pô, esse menino é generoso.
[4798.42:4801.42]  Ele saiu pensando, esse mulher é um otário, pô.
[4801.42:4803.42]  Com certeza, com certeza.
[4803.42:4807.42]  E a menina ficou do meu lado, foi pô, eu queria que ele me enfocou, cara, você não deu certo.
[4807.42:4810.42]  Eu ia ficar ser retardado, pô, ser otário, pô.
[4810.42:4814.42]  Eu falei, nossa, um palha é muito top, cara, eu quero voltar mais vezes aqui, cara.
[4814.42:4816.42]  Quero voltar muito mais vezes.
[4816.42:4819.42]  Mas eu acho que eu vou morar aqui, pô, por causa do trampa mesmo.
[4819.42:4820.42]  Pendi.
[4820.42:4821.42]  Mas que eu ia falar do carro, né?
[4821.42:4823.42]  Nossa, uma logo a primeira vez que tu vê, né?
[4823.42:4825.42]  A primeira vez foi essa rezepção, né?
[4825.42:4827.42]  Mas aí tu entendeu, imagina se...
[4827.42:4828.42]  Eu queria morar aqui.
[4828.42:4829.42]  Eu queria morar aqui.
[4829.42:4833.42]  Porque se eu nascer-se aqui, eu ia ficar mais acostumado.
[4833.42:4836.42]  Mas como nascimos a anterior, vinha aqui, é um choque muito grande, entendeu?
[4836.42:4839.42]  É um choque bizarro, assim, isso é um caramba, é todo muito diferente.
[4839.42:4843.42]  É, vamos pra mim, foi um choque saí do Rio e pra Curitiba, prazer.
[4843.42:4846.42]  Ah, mas o Rio é parecido a Megavó, é o cidade gigante, né?
[4846.42:4849.42]  Ah sim, é comparado com São Paulo, não, mas...
[4849.42:4850.42]  Eu nunca fui no Rio.
[4850.42:4851.42]  Eu nunca fui no Rio.
[4851.42:4852.42]  Então, vai lá no Rio lá.
[4852.42:4853.42]  Desenquei bom?
[4853.42:4855.42]  É bom pra caramba, né?
[4855.42:4856.42]  Por quê?
[4856.42:4859.42]  Ah, tu deu ser 30 reais aqui?
[4859.42:4860.42]  Lá, 5 anos.
[4860.42:4863.42]  Lá, se tem puxar conta bancar e dá pics.
[4864.42:4866.42]  No caixa eletrônica.
[4866.42:4867.42]  Não, eu tô brincando.
[4867.42:4868.42]  É...
[4868.42:4869.42]  Mas é que assim, tu...
[4869.42:4871.42]  Não, o Dizem que o Rio é muito gostoso, caramba.
[4871.42:4872.42]  É, caramba.
[4872.42:4874.42]  Se tu ficar no lugar certo, lá é foda de março.
[4874.42:4875.42]  É aqui em São Paulo também.
[4875.42:4876.42]  Você ficar no lugar bacana e gostoso.
[4876.42:4878.42]  Mas eu tenho lugar em lugar e estou no lugar, não é?
[4878.42:4879.42]  Pois é.
[4880.42:4884.42]  Foda, tu, quando tu é muito assim, se tu for feito o diotário desse jeito...
[4884.42:4885.42]  Não, é sotaio, é sotaio.
[4885.42:4889.42]  Se a sotaio de fato é diferente, é diferente, pelo menos,
[4889.42:4892.42]  é o seguinte, tu não fica sentindo um completé a totar.
[4892.42:4894.42]  Sotaio, porra, já foi sotaado duas vezes.
[4894.42:4895.42]  Em Londrina.
[4895.42:4897.42]  É, porra, Londrina, nem tem a salto, cara.
[4897.42:4899.42]  Eu acho que eu fui, eu nunca pensou que foi sotaado lá.
[4899.42:4903.42]  Eu sou tária pra caralho, eu se pensou, pedi dinheiro, eu dou, eu fico medo.
[4903.42:4905.42]  Eu sou burriotário, eu sou assim mesmo.
[4905.42:4907.42]  Então são paulhos e me usa e a busa, cara.
[4907.42:4909.42]  E pra caramba, carinha fresca.
[4909.42:4911.42]  Eles me odiam ver uma carinha fresca.
[4911.42:4913.42]  Mas aí que tá, que eu ia falar do carro, né?
[4913.42:4914.42]  Na verdade.
[4914.42:4917.42]  Eu tava aqui pensando, cara, será que ele já contou de tá riduca?
[4917.42:4919.42]  Não, não, não. Eu não contei, não.
[4919.42:4924.42]  Cara, eu teve uma história muito agradável com o carro.
[4924.42:4925.42]  Que eu passei, né?
[4925.42:4926.42]  É, quando eu tinha...
[4926.42:4928.42]  Eu tava com essa namorada, não foi age.
[4928.42:4929.42]  Tá.
[4929.42:4930.42]  Ainda tens, cara.
[4931.42:4933.42]  Porque tu tem outro carro?
[4933.42:4934.42]  Tu veio com um carro.
[4934.42:4936.42]  Ah, era, eu vou se eu ficar falando, mas quero eu ficar falando.
[4936.42:4938.42]  Verdade, mas não é um voyage.
[4938.42:4939.42]  Não.
[4939.42:4941.42]  O... Por que que tem voyage ainda?
[4941.42:4943.42]  Ah, porque eu não vim de ainda.
[4943.42:4944.42]  Deixei lá encostado.
[4944.42:4946.42]  Tá sem bateria, tá cheio de fumaça, né?
[4946.42:4947.42]  Deixei.
[4947.42:4949.42]  Mas eu peguei e fisci, hein?
[4949.42:4950.42]  Eu tinha esse voyage no Pinocar, né?
[4951.42:4952.42]  É...
[4952.42:4955.42]  Era na época que eu namorava essa minha isna-morada,
[4955.42:4959.42]  lá de 2019, que eu morei junto e tal, mas ele tava conhecendo ela.
[4959.42:4960.42]  Tá.
[4960.42:4961.42]  Era dito namorados, cara.
[4961.42:4963.42]  Dito namorados, eu lembro até hoje.
[4963.42:4968.42]  E eu sou um cara que eu sou meio assim, eu sou meio ansioso.
[4968.42:4970.42]  Tudo eu tenho que preparar muito bem.
[4970.42:4973.42]  Ah, tudo eu tenho que pensar como vai ser, como tipo como que vai ser,
[4973.42:4976.42]  eu vou chegar lá, vou falar tal coisa, você tal coisa.
[4976.42:4977.42]  Não gosta muito de surpresa.
[4977.42:4980.42]  Não, gosto de surpresa, cara, pra mim tem que ser preparado certinho.
[4980.42:4982.42]  Tudo certinho, no controle.
[4982.42:4983.42]  Eu fui porra.
[4983.42:4986.42]  Eu vou comprar uma florzinha pra ela.
[4986.42:4988.42]  Vou comprar um bichinho de pelúcia.
[4988.42:4991.42]  E vou agradar ela onde eu desamorado, assim, então.
[4991.42:4995.42]  Deu comprar florzinha só que eu reconheceu os pais dela.
[4995.42:4997.42]  Meu sugros, tá época.
[4998.42:5001.42]  Daí eu tava com o carro e tal, e eu sou um cara meio,
[5001.42:5004.42]  eu tenho que fober social, sou meio fechado, não gosto de me cheio muito com o gente,
[5004.42:5006.42]  eu não tenho rava de gente, mas...
[5006.42:5009.42]  E com vocês não, assim, mas...
[5009.42:5010.42]  Não, com vocês também.
[5010.42:5014.42]  Daí eu o seguinte, eu peguei o carro e tava chegando...
[5014.42:5016.42]  Tá chegando, eu lhe lemora, né.
[5016.42:5018.42]  Tá chegando a dia, ela mora.
[5018.42:5024.42]  Só que daí tipo assim, era meio dia, mais ou menos, eu saí com o carro.
[5024.42:5026.42]  A gente ia se encontrar pra mostrar.
[5026.42:5030.42]  Só que deu meio dia, uma hora, eu ainda tava procurando flor de cultura pra comprar flor,
[5030.42:5033.42]  comprar negócio, fiquei circulando algumas fulculturas que tava fechada.
[5033.42:5036.42]  A dia, eu não morava dos fulculturas que tava fechado, venho de tudo as flor.
[5036.42:5038.42]  Eu queria comprar uma flor específica que ela gostava, etc.
[5038.42:5040.42]  Tentei te agradar.
[5040.42:5042.42]  Eu só flor, podia ir se ela não ser miter.
[5042.42:5044.42]  Ah, não, não, isso aí não pode.
[5044.42:5046.42]  É perto de se miter, tem uma flor de flor.
[5046.42:5049.42]  Ah, tá, não, eu peço outra coisa.
[5049.42:5052.42]  Porra, não é robávo, porque ela é amor de Deus.
[5052.42:5060.42]  Tá, e deu fui chegar na casa minha, só que eu saí meio dia, já era umas três horas assim.
[5060.42:5062.42]  Tá, tá.
[5062.42:5064.42]  Então tava meio...
[5064.42:5066.42]  Deu rolesão, futeza.
[5066.42:5068.42]  De voyagem, de um pouco com o rolesão.
[5068.42:5070.42]  Não, bom, bom.
[5070.42:5073.42]  Você falou que você é algo asqueiroso, de voyagem.
[5073.42:5074.42]  Qual voyagem?
[5074.42:5076.42]  Voyagem highlight, 2017.
[5076.42:5080.42]  Ah, não, não é aquele carro, fureba, não voyagem com...
[5080.42:5084.42]  Pensei que você o voyagem é de garrafo, não, não, não, o voyagem não é de culpa.
[5084.42:5085.42]  Tá bom.
[5085.42:5086.42]  Não, não tá perdurado.
[5086.42:5090.42]  Por isso que eu tenho que ir por como assim, tu ainda tem esse voo, não, carro automático.
[5090.42:5092.42]  Tá bom, desmático, tá bom.
[5092.42:5094.42]  Tá desculpado, viu?
[5094.42:5099.42]  E daí eu fui chegando na casa a menina, só que eu tava com pressa, cara, já tá três horas,
[5099.42:5104.42]  ela tava falando, tipo assim, por ser não vai vindo, mas tava com pressa, cara, três horas,
[5104.42:5105.42]  tá uns...
[5105.42:5106.42]  Tinha uma rotatória.
[5106.42:5110.42]  E eu tava vindo, uns 100 metros, não, não, não, sem mesão.
[5110.42:5114.42]  Um dos dois quilômetros atrás vazia, o ovo vazia, quatro horas da tarde, não, três horas
[5114.42:5119.42]  da tarde, porra, uma cidade vizinha ali, de Londrina, porra vazia, para caralho.
[5119.42:5123.42]  Eu fui andando com o carro, tá uns rotatória, furece a porra.
[5123.42:5127.42]  Tá ouvindo uma música, tudo mais, estávimentos traídas, com pressa, olha assim, porra, não tá
[5127.42:5128.42]  vendo ninguém.
[5128.42:5130.42]  Eu vou passar.
[5130.42:5133.42]  E daí eu seguinte, cara, eu passei a rotatória.
[5133.42:5134.42]  Tu errado.
[5134.42:5135.42]  Porra.
[5135.42:5139.42]  Paulista, escuta, escuta em essa história aqui, viu?
[5139.42:5142.42]  Porque aqui em São Paulo, os caras não sabem usar esse rotatório.
[5142.42:5143.42]  É.
[5143.42:5146.42]  O Paulista tem que parar, ó, se você tem que parar no tatório, esperar, passar, ele
[5146.42:5147.42]  pô, assim.
[5147.42:5149.42]  Porque o cara para na rotatória.
[5149.42:5150.42]  Aqui?
[5150.42:5151.42]  Não.
[5151.42:5152.42]  O cara para na rotatória.
[5152.42:5153.42]  Não é daqui.
[5153.42:5154.42]  Não é nem um pouco daqui quando.
[5154.42:5157.42]  É uma das regras fundamentais, né, cara.
[5157.42:5161.42]  Para no par e bonitista, esperar, passar e vai quando você tá livre.
[5161.42:5164.42]  Mas eu tava ansioso, tava com coisa na cabeça, tava pensando em uma de merda.
[5164.42:5166.42]  Eu, literalmente, não via rotatória.
[5166.42:5167.42]  Não pensei em parar.
[5167.42:5172.42]  Eu roubso absolutamente, meu depogito, sou o par e todos os rotatória.
[5172.42:5178.42]  Nisso veio uma moto, cara, com duas mulheres.
[5178.42:5181.42]  E daí foi meu primeiro sidente, cara.
[5181.42:5184.42]  Eu bati na lateral das motos, da moto.
[5184.42:5193.42]  As mulheres, uma caiu pra frente, que era uma turista, outra rolou o meu capô e desceu.
[5193.42:5196.42]  E eu entrei em pânico, cara.
[5196.42:5197.42]  É mais de anão, né?
[5197.42:5198.42]  Entraria também.
[5198.42:5199.42]  Você já teve bastante carro desse nível.
[5199.42:5200.42]  Não.
[5200.42:5202.42]  Eu entrei em pânico, eu fiquei...
[5202.42:5203.42]  E perventilando.
[5203.42:5208.42]  E quando eu vi o painel do vidro, tinha um rastro de sangue.
[5208.42:5211.42]  E eu falei assim, cara, é uma teão, né?
[5212.42:5216.42]  Eu tinha 19 anos, eu com 19 anos maté uma pessoa.
[5216.42:5219.42]  Eu puxei, eu falei de mão, e falei assim, cara.
[5219.42:5221.42]  Acabou, eu maté uma pessoa.
[5221.42:5223.42]  Eu fiquei, tipo, e perventilando.
[5223.42:5225.42]  Porque eu, tipo, maté alguém.
[5225.42:5227.42]  É, tipo, um choque de guerra de ser cabalho de matar alguém.
[5227.42:5230.42]  Porque, mano, a mulher veio, pombateu, em tudo.
[5230.42:5232.42]  Pá, em cheio, tipo, tava 60 controra.
[5232.42:5235.42]  Pá, em cheio, e veio um rastro de sangue, que foi a maté.
[5235.42:5239.42]  Eu puxei, eu falei de mão, carro, deu PT, tipo, uma sona saindo assim.
[5240.42:5242.42]  Eu saí, isso é uma história meio trecho, né?
[5242.42:5244.42]  Não, não, você é lá agora.
[5246.42:5247.42]  Não sei se é meio treino.
[5247.42:5248.42]  Aconteceu, cara.
[5248.42:5249.42]  Mas eu cheguei.
[5249.42:5251.42]  Agora eu quero saber como é que ela está.
[5251.42:5254.42]  Eu saí, eu cheguei, saí do carro, cheguei.
[5254.42:5257.42]  E uma das mulheres tava ok.
[5257.42:5259.42]  Tipo, tava tranquilo.
[5259.42:5262.42]  E a outra tava tranquila também.
[5262.42:5263.42]  Ela tava tranquila.
[5263.42:5265.42]  Só que a perna dela tava aberta, cara.
[5265.42:5266.42]  Completamente aberta.
[5266.42:5268.42]  Porque ela tava numa ronda bis.
[5268.42:5272.42]  E a ronda bis você fica com a perninha encostada num ferro.
[5272.42:5276.42]  E quando eu batei uma sereia perna dela no ferro.
[5276.42:5278.42]  Então, abriu a perna dela, cara.
[5278.42:5279.42]  Deu que acontece?
[5279.42:5280.42]  Você pega um moleque.
[5280.42:5282.42]  Que não foi porra nenhuma da vida, não sai de casa.
[5282.42:5284.42]  Não faz porra nenhuma da vida.
[5284.42:5286.42]  Virgão pra caralho.
[5286.42:5287.42]  Tá ligado?
[5287.42:5289.42]  Tipo assim, foi por uma visita de convite um ano, estra.
[5289.42:5291.42]  Virgão pra caralho.
[5291.42:5294.42]  Borro, borro também.
[5294.42:5295.42]  Borro também.
[5295.42:5299.42]  Pra mexer com acidente de carro com duas pessoas que uma pessoa
[5299.42:5301.42]  tá com a perna serada ou todo o sorado, cara.
[5301.42:5302.42]  Como você faz?
[5302.42:5304.42]  Irmão, eu tive que ver se tivesse o rimei.
[5304.42:5308.42]  Eu fiquei tentando consolar as duas, fazia meu calma, calma, calma,
[5308.42:5309.42]  vai dar tudo certo.
[5309.42:5312.42]  Liguei para o Samu, nem sabia o nome de Samu, pro clino Google.
[5312.42:5315.42]  Chegou um momento que a ruimteira fechou.
[5315.42:5318.42]  A ruimteira fechou e a flor não calma.
[5320.42:5322.42]  Desourado, cara.
[5322.42:5323.42]  Eu te esqueci da flor.
[5323.42:5325.42]  Tá vendo, cara?
[5325.42:5326.42]  Olha, olha.
[5326.42:5329.42]  É história, a flor no carro.
[5329.42:5333.42]  As mulheres se dêitadas, assim, mano, a perna dela aberta.
[5333.42:5335.42]  Eu vi o músculo, entendeu?
[5335.42:5336.42]  Então, é nada.
[5336.42:5338.42]  E deu freia assim, mano, calma, calma, calma.
[5338.42:5340.42]  Ela começou a falar assim, por que você fez isso comigo?
[5340.42:5341.42]  Porque você fez isso comigo?
[5341.42:5342.42]  Ela estava começando a ter uma crise de ansiedade.
[5342.42:5344.42]  Eu sou meu Deus, eu sou ansioso, eu sou ansioso.
[5344.42:5345.42]  O que você fez comigo?
[5345.42:5346.42]  O que você fez com isso?
[5346.42:5349.42]  Eu fiz meu desculpa, eu não vi que me sei o quê.
[5349.42:5350.42]  Eu desculpo, não sei, eu fiquei consulando ela.
[5350.42:5351.42]  Ela foi em calma, calma, tudo bem.
[5351.42:5353.42]  Só perna vai ficar tudo bem, vai ficar tudo bem.
[5353.42:5355.42]  Não olha, não olha.
[5355.42:5356.42]  Começou vingente.
[5356.42:5360.42]  Chegou agentes, populares, cidadões ali, cidadão, ciganas, cintausos.
[5360.42:5362.42]  Levi umas pessoas que eu comecei a ver que...
[5362.42:5364.42]  Cara, quando acontece uma desgraça,
[5364.42:5366.42]  você começa a ver que as pessoas viram...
[5366.42:5367.42]  É Barbari, parceiro.
[5367.42:5369.42]  É Barbari, viram macaco.
[5369.42:5372.42]  Assim, chegou umas pessoas filmando a minha cara
[5372.42:5374.42]  e, flancinha, se matou ela.
[5374.42:5375.42]  Tá nemado?
[5375.42:5377.42]  Porque não dava ver pra mulher, tava lotada, não multidão.
[5377.42:5379.42]  Os caras passaram, falando assim, ela morreu!
[5379.42:5380.42]  Ela morreu?
[5380.42:5381.42]  Ela morreu?
[5381.42:5383.42]  Cara, eu flic que merda, cara.
[5383.42:5386.42]  Porra, tem patia, tá nemado, mas não tem, cara.
[5386.42:5388.42]  As pessoas viram a barbari.
[5388.42:5390.42]  De umas pessoas que chegavam do lado da mulher,
[5390.42:5392.42]  porra, o mulher tava tendo uma crediance,
[5392.42:5394.42]  da que eu tava super preocupado, a pessoa pegou,
[5394.42:5396.42]  falou assim, não vai perder a perna, assim.
[5396.42:5397.42]  Com certeza, vai ter que arrancar.
[5397.42:5400.42]  Do lado da mulher falando pelo vício, assim.
[5400.42:5402.42]  Flic que merda, cara, o senhor não é foda, deixa.
[5402.42:5403.42]  Daí, beleza.
[5403.42:5404.42]  Não, não ver, recorra.
[5404.42:5406.42]  Eu quero mandar recorra gravar, falar assim, caralho.
[5406.42:5408.42]  O mulher que atropelha, eu fiquei assim.
[5408.42:5411.42]  Fudeu, porra.
[5411.42:5413.42]  E deu o que eu fiz, cara.
[5413.42:5414.42]  Chameu, chameu as marias paradas.
[5414.42:5417.42]  Fistor Niqueite, na mulher que eu aprendi no Bergrills.
[5417.42:5419.42]  Porra, fistor Niqueite, na mulher com o cinto,
[5419.42:5420.42]  puxou o cinto, pá.
[5420.42:5422.42]  Puxou o cinto, fistor Niqueite, amarrê.
[5422.42:5424.42]  O samba, depois eu fui no seu rei de nada.
[5424.42:5426.42]  Mas é mais fiz, tá, né?
[5426.42:5428.42]  Leixou o bombeiro, chega a um bulâncio.
[5428.42:5429.42]  Você me falou, ele vai levar.
[5429.42:5431.42]  Por que que fico fistor Niqueite de merda?
[5431.42:5433.42]  É porra, cara, isso aí só piorou as paradas.
[5433.42:5434.42]  Porra, o que é essa merda aqui?
[5434.42:5435.42]  Porra, só piorou, porra.
[5435.42:5436.42]  É de beleza.
[5436.42:5439.42]  Chameu a parada, o caminhão de recor chegou,
[5439.42:5441.42]  só fazê por dar correto, por um filme.
[5441.42:5444.42]  Leixou o mulher vazou.
[5444.42:5446.42]  E daí nisso eu ligue a primeira morada,
[5446.42:5449.42]  eu acho que a parada de amourar...
[5449.42:5450.42]  Que horas que era?
[5450.42:5452.42]  Cara, eu já era um nosso quarto, cara.
[5452.42:5454.42]  Frecinha, para de amourar, os taos.
[5454.42:5456.42]  E aí, eu vou deixar para depois, né?
[5456.42:5458.42]  É o ano que vem, tu, quem sabe.
[5458.42:5461.42]  É que aconteceu uma coisa, um pequeno deslize,
[5461.42:5463.42]  que tá atroperido do mulher, perdendo a talheta.
[5463.42:5464.42]  É beleza.
[5464.42:5466.42]  Mas eu congeço que não é uma morada, inclusive.
[5466.42:5469.42]  Ela veio, não rolê, ela veio, não rolê.
[5469.42:5471.42]  Ela falou, se não, vou ir ficar com você,
[5471.42:5472.42]  vou me ligar lá para as delas.
[5472.42:5475.42]  Ela falou, se não, vou ir, não vou ficar com você, não rolê.
[5475.42:5478.42]  E daí, cara, das três horas da tarde até as nove,
[5478.42:5480.42]  eu fiquei esperando viatura,
[5480.42:5481.42]  porque não deu muito viatura.
[5481.42:5483.42]  Então, eu fiquei esperando viatura,
[5483.42:5487.42]  chegar para fazer bolho de gente de ocorrência.
[5487.42:5489.42]  Minas já estava no hospital, assim.
[5489.42:5491.42]  Cara, foi uma punha de gente cocô.
[5491.42:5494.42]  Foi um trauma do caralho cotivo, assim,
[5494.42:5496.42]  não era bem que foi tão trauma, mas foi sustador, né?
[5496.42:5497.42]  É, gente.
[5497.42:5498.42]  Foi horrível, cara.
[5498.42:5499.42]  Cara, você tá rindo, né?
[5499.42:5500.42]  Não é porque...
[5500.42:5501.42]  É...
[5501.42:5503.42]  Dos mulheres...
[5503.42:5504.42]  Primeiro bom, porque eu...
[5504.42:5505.42]  Eu quero que eu falei.
[5505.42:5506.42]  Eu queria que eu falei.
[5506.42:5507.42]  Eu tive um momento que eu fiquei feliz.
[5507.42:5508.42]  Foi, tá bom, tá bom, tá todo mundo vivo.
[5508.42:5509.42]  Vivo, vivo.
[5509.42:5511.42]  Isso é uma coisa que eu fiquei feliz também,
[5511.42:5512.42]  que eu não imagine.
[5512.42:5514.42]  De saber que eu não matei uma pessoa,
[5514.42:5516.42]  porque imagina cara sensação de você ter um acidente,
[5516.42:5518.42]  você matar alguém, você ter...
[5518.42:5520.42]  E o cara culpa deve ser avassaladora, cara.
[5520.42:5523.42]  A culpa deve ser monstruosa, você não tem ideia.
[5523.42:5525.42]  Porque eu fiquei muito culpada, gente.
[5525.42:5527.42]  Eu fiquei com uma sensação de tipo assim,
[5527.42:5529.42]  cara, eu queria que ter se tia sido eu.
[5529.42:5531.42]  Queria que eu tivesse com a perna fudida, cara.
[5531.42:5534.42]  Até porque eu já fui de meu pé, então a perna mudou nada.
[5534.42:5537.42]  Mas eu fiquei pensando, cara, eu queria que eu tivesse com a perna fudida,
[5537.42:5540.42]  porque prejudicar a outra pessoa é muito ruim, cara.
[5540.42:5542.42]  A sensação que você prejudicou alguém, cara,
[5542.42:5544.42]  é você sair de casa e prejudicou alguém.
[5544.42:5546.42]  É muito terrível, vocês são, cara.
[5546.42:5548.42]  É uma culpa fudida que se sente, sabe?
[5548.42:5551.42]  E o que acontece? A mina chegou em casa,
[5551.42:5554.42]  eu falei assim, como que está, está bem, e tal, que não sei o que.
[5554.42:5557.42]  Como que se está... Eu estou aqui no hospital,
[5557.42:5558.42]  eu não sei o que vai acontecer.
[5558.42:5561.42]  Eles vão reconstruir minha perna, vai ter que ligar a tendão,
[5561.42:5563.42]  porque não eu acho que vou perder minha perna.
[5563.42:5564.42]  Eu fiquei ansioso, cara.
[5564.42:5566.42]  Eu lembro que eu estava com a minha namorada,
[5566.42:5568.42]  a minha amorada na cama, assim, tipo assim,
[5568.42:5571.42]  eu assisti num filme e tal, eu assisti a treina.
[5571.42:5573.42]  Eu não ia ficar de lá, eu lembro de tudo, sim.
[5573.42:5575.42]  Eu não ia ficar de lá, eu não ia ficar de lá, mas assim,
[5575.42:5578.42]  eu assisti, assim, eu lembro que eu passava a mão na cabeça dela.
[5578.42:5581.42]  Eu tinha flash de quando eu passava a mão na cabeça da menina
[5581.42:5584.42]  que estava se dentada, porque eu fiquei tentando consolar ela.
[5584.42:5586.42]  Eu fiquei passando a mão na cabeça dela, falando que está tudo bem,
[5586.42:5589.42]  tudo bem, tudo tudo bem, em cama, eu estou aqui, tudo bem.
[5589.42:5590.42]  Sempre risava, eu vou no ambulância, com vocês,
